NO,UNIT CODE,CATEGORY,UNIT TYPE,UNIT MODEL,UNIT CATEGORY,SECTION,VENDOR,SERIAL NUMBER,HM/KM,Last Refueling,Std Ratio,PARAMETER
1,DB-41,LIGHT VEHICLE,LV,HILUX DC,GAM SUPPORT,GA,DAUN BUAH,KT 8519 DJ,  ,, 7.00 ,ODD
6,DB-48,LIGHT VEHICLE,LV,HILUX DC,GAM SUPPORT,GA,DAUN BUAH,KT 8627 DJ,  ,, 7.00 ,ODD
10,DB-39,LIGHT VEHICLE,LV,HILUX DC,GAM SUPPORT,GA,DAUN BUAH,KT 8516 DJ,  ,, 7.00 ,ODD
11,DB-46,LIGHT VEHICLE,LV,HILUX DC,GAM SUPPORT,GA,DAUN BUAH,KT 8509 NR,  ,, 7.00 ,ODD
12,DB-40,LIGHT VEHICLE,LV,HILUX DC,GAM SUPPORT,GA,DAUN BUAH,KT 8518 DJ,  ,, 7.00 ,ODD
32,SP.200.1,DRILLING RIG,DRILLING GEOLOGY,RIG JACRO 200,GAM SUPPORT,GEOLOGY,SPU,,  ,,  ,HM
33,SP.200.2,DRILLING RIG,DRILLING GEOLOGY,RIG JACRO 200,GAM SUPPORT,GEOLOGY,SPU,,  ,20-Jun-25,  ,HM
34,SP.240,DRILLING RIG,DRILLING GEOLOGY,RIG JACRO 240,GAM SUPPORT,GEOLOGY,SPU,,  ,,  ,HM
35,SPU.01,DRILLING RIG,DRILLING GEOLOGY,RIG JACRO 400,GAM SUPPORT,GEOLOGY,SPU,,  ,,  ,HM
36,SPU.02,DRILLING RIG,DRILLING GEOLOGY,RIG JACRO 400,GAM SUPPORT,GEOLOGY,SPU,,  ,,  ,HM
37,SPU.03,DRILLING RIG,DRILLING GEOLOGY,RIG JACRO 400,GAM SUPPORT,GEOLOGY,SPU,,  ,,  ,HM
38,SPU.04,DRILLING RIG,DRILLING GEOLOGY,RIG JACRO 400,GAM SUPPORT,GEOLOGY,SPU,,  ,,  ,HM
39,FT. NORTH 01,FUEL TANK,FUEL TANK,FUEL TUNK NORTH 1,GAM SUPPORT,OPERATION RENTAL,GAM OPERATION RENTAL,FT STOCKPILE,  ,9-Aug-25,  ,HM
40,FT. NORTH 02,FUEL TANK,FUEL TANK,FUEL TUNK NORTH 2,GAM SUPPORT,OPERATION RENTAL,GAM OPERATION RENTAL,FT STOCKPILE,  ,,  ,HM
41,FT. NORTH 03,FUEL TANK,FUEL TANK,FUEL TUNK 16.000,GAM SUPPORT,OPERATION RENTAL,GAM OPERATION RENTAL,FT NORTH PIT,  ,,  ,HM
54,EX G-14,GENSET,GENSET,1103A,GAM SUPPORT,FACILITY,GAM FACILITY,,  ,,  ,HM
55,G-01,GENSET,GENSET,C15,GAM SUPPORT,FACILITY,GAM FACILITY,,  ,,  ,HM
56,G-02,GENSET,GENSET,C15,GAM SUPPORT,FACILITY,GAM FACILITY,,  ,,  ,HM
57,G-03,GENSET,GENSET,C15,GAM SUPPORT,FACILITY,GAM FACILITY,,  ,,  ,HM
58,G-04,GENSET,GENSET,C7.1,GAM SUPPORT,GA,GAM GA,,  ,,  ,HM
59,G-05,GENSET,GENSET,C7.1,GAM SUPPORT,GA,GAM GA,,"27,067.5",8-Jun-25,  ,HM
60,G-06,GENSET,GENSET,C7.1,GAM SUPPORT,QUALITY CONTROL,GAM QUALITY CONTROL,,"19,777.8",6-May-25,  ,HM
